Price,From,To,is_holiday,avialine,duration,days_until_flight,part_of_day
30217,2,1,False,1,115,25,2
29447,2,1,False,1,115,26,3
24677,2,1,False,1,110,26,0
29447,2,1,False,1,110,26,0
30217,2,1,False,1,115,27,2
30217,2,1,False,1,115,27,3
21497,2,1,False,1,110,28,2
21497,2,1,False,1,115,28,3
21497,2,1,False,1,110,28,2
21497,2,1,False,1,115,29,3
21497,2,1,False,1,110,29,0
21497,2,1,False,1,110,30,1
21497,2,1,False,1,115,30,3
21497,2,1,False,1,125,30,0
21497,2,1,False,1,115,31,0
21497,2,1,False,1,115,31,3
21497,2,1,False,1,115,32,2
21497,2,1,False,1,115,32,3
21497,2,1,False,1,110,33,0
24677,2,1,False,1,115,33,3
24677,2,1,False,1,110,33,0
24677,2,1,False,1,115,34,3
24677,2,1,False,1,115,34,2
21497,2,1,False,1,115,35,3
21497,2,1,False,1,110,35,2
21497,2,1,False,1,110,35,2
21497,2,1,False,1,115,36,3
21497,2,1,False,1,110,36,0
18317,2,1,False,1,110,37,1
18317,2,1,False,1,115,37,3
21497,2,1,False,1,125,37,0
18317,2,1,False,1,115,38,0
18317,2,1,False,1,115,38,3
18317,2,1,False,1,115,39,3
18317,2,1,False,1,115,39,2
15214,2,1,False,1,110,40,0
22095,2,1,False,1,115,40,3
22095,2,1,False,1,110,40,0
21497,2,1,False,1,115,41,2
21497,2,1,False,1,115,41,3
18317,2,1,False,1,110,42,2
18317,2,1,False,1,115,42,3
18317,2,1,False,1,110,42,2
18317,2,1,False,1,115,43,3
18317,2,1,False,1,110,43,0
15137,2,1,False,1,125,44,0
15137,2,1,False,1,115,44,3
18317,2,1,False,1,110,44,1
18317,2,1,False,1,115,45,0
18317,2,1,False,1,115,45,3
18317,2,1,False,1,115,46,2
18317,2,1,False,1,115,46,3
21497,2,1,False,1,115,47,3
21497,2,1,False,1,110,47,0
22063,2,1,False,1,115,48,2
22063,2,1,False,1,115,48,3
18317,2,1,False,1,110,49,2
18317,2,1,False,1,110,49,2
18317,2,1,False,1,115,49,3
15137,2,1,False,1,115,50,3
18317,2,1,False,1,110,50,0
15802,2,1,False,1,115,51,3
15802,2,1,False,1,125,51,0
15802,2,1,False,1,110,51,1
15137,2,1,False,1,115,52,0
15137,2,1,False,1,115,52,3
15137,2,1,False,1,115,53,2
18317,2,1,False,1,115,53,3
18317,2,1,False,1,115,54,3
21497,2,1,False,1,110,54,0
18317,2,1,False,1,115,55,2
