Price,is_holiday,duration,days_until_flight,From_Алматы,From_Астана,From_Шымкент,To_Алматы,To_Астана,To_Атырау,To_Шымкент,avialine_Air Astana,avialine_FlyArystan,avialine_Qazaq Air,avialine_SCAT,part_of_day_вечер,part_of_day_день,part_of_day_ночь,part_of_day_утро
29447,True,0.2425420339286282,-0.7745906238629507,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
29447,True,0.010115080290767537,-0.7745906238629507,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
30217,False,0.7073959412043496,-0.7280156031323552,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
30217,False,0.2425420339286282,-0.7280156031323552,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
30217,False,0.2425420339286282,-0.6814405824017596,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
30217,False,0.2425420339286282,-0.6814405824017596,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
30217,False,0.2425420339286282,-0.6348655616711641,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
30217,False,0.2425420339286282,-0.6348655616711641,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
29447,False,0.2425420339286282,-0.5882905409405687,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
24677,False,0.010115080290767537,-0.5882905409405687,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
29447,False,0.010115080290767537,-0.5882905409405687,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
30217,False,0.2425420339286282,-0.541715520209973,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
30217,False,0.2425420339286282,-0.541715520209973,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
21497,False,0.010115080290767537,-0.49514049947937755,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
21497,False,0.2425420339286282,-0.49514049947937755,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
21497,False,0.010115080290767537,-0.49514049947937755,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
21497,False,0.2425420339286282,-0.44856547874878205,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
21497,False,0.010115080290767537,-0.44856547874878205,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
21497,False,0.010115080290767537,-0.4019904580181865,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
21497,False,0.2425420339286282,-0.4019904580181865,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
21497,False,0.7073959412043496,-0.4019904580181865,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
21497,False,0.2425420339286282,-0.355415437287591,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
21497,False,0.2425420339286282,-0.355415437287591,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
21497,False,0.2425420339286282,-0.30884041655699546,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
21497,False,0.2425420339286282,-0.30884041655699546,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
21497,False,0.010115080290767537,-0.26226539582639996,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False
